Survey_Number,Var_Name,Var_Text
5,UNION,DOES R OR SPOUSE BELONG TO UNION
5,SEI10INC,PERCENTAGE OF $45K+ EARNERS IN OCC10 BASED ON ACS 2010
5,MAJOR1,COLLEGE MAJOR 1
5,ABHLTH,WOMAN'S HEALTH SERIOUSLY ENDANGERED
5,HHTYPE1,HOUSEHOLD TYPE (CONDENSED)
5,RIFLE,S50SHOULD HIGH POWER RIFLE SALE BE LIMITED TO MILITARY
5,SSMCHILD,SAME SEX MALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE
5,RUMORWK,RUMORS OR GOSSIP ABOUT R AT WORK
5,NATARMSY,NATIONAL DEFENSE -- VERSION Y
5,ISCO88,"RESPONDENT'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
5,HIVTEST,1IN WHAT MONTH AND YEAR WAS YOUR LAST HIV TEST
5,GENDER10,GENDER OF 10TH PERSON
5,HOUSEWRK,BEING HOUSEWIFE AS FULFILLING AS PAID WORK
5,SIBS,NUMBER OF BROTHERS AND SISTERS
5,HOMOSEX,HOMOSEXUAL SEX RELATIONS
5,INTRACE2,INTERVIEWER S RACE2
5,CONBUS,YMAJOR COMPANIES -- VERSION Z
5,MNTLHLTH,DAYS OF POOR MENTAL HEALTH PAST 30 DAYS
5,RELSP9,RELATIONSHIP OF PERSON 9 TO SPOUSE OF HOUSEHOL
5,SPKLANG,3WHAT LANGUAGE(S) DO YOU SPEAK WELL?             
5,SPJOTH16,R'S SPOUSE RAISED JEWISH
5,POPESPKS,POPE IS INFALLIBLE ON MATTERS OF FAITH OR MORALS
5,RELIG,3RELIGIOUS PREFERENCE OF PERSON #3
5,WHERE1,1WHERE IS 11TH PERSON (VISITOR) STAYING?
5,CONDRIFT,SCI KNOWLEDGE: THE CONTINENTS HAVE BEEN MOVING
5,PAISCO88,"R'S FATHER'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
5,RELATE1,0RELATIONSHIP OF 10TH PERSON TO HOUSEHOLD HEAD
5,UNEMP,5UNEMPLOYED IN LAST 5 YRS
5,SATFAM7,FAMILY SATISFACTION IN GENERAL
5,WKKIDSCS,DID PARTNER WORK OUTSIDE HOME WITH CHILD UNDER SCHOOL AGE
5,CLASS,YSUBJECTIVE SOCIAL CLASS-VERSION Y
5,SPDIPGED,"SPOUSE DIPLOMA, GED, OR OTHER"
5,SPKMSLM,ALLOW MUSLIM CLERGYMEN PREACHING HATRED OF THE US
5,ISSP,FILTER FOR ISSP CASES
5,GENDER1,2GENDER OF 12TH PERSON (VISITOR)
5,INTHISP,"IS INTERVIEWER SPANISH, HISPANIC OR LATINO"
5,FAIR,WHTSWHITES COMMITTED TO FAIR AND EQUAL TREATMENT OF
5,NATEDUC,YEDUCATION -- VERSION Y
5,RACE,CEN3WHAT IS RS RACE 3RD MENTION
5,JOURNLSM,HOW SCIENTIFIC IS JOURNALISM
5,VISITORS,NUMBER OF VISITORS IN HOUSEHOLD
5,CARESELF,THOSE IN NEED HAVE TO TAKE CARE OF THEMSELVES
5,VALGIVEN,TOTAL DONATIONS PAST YEAR R AND IMMEDIATE FAMILY
5,RACDIF4,DIFFERENCES DUE TO LACK OF WILL
5,TICKET,EVER RECEIVED A TRAFFIC TICKET
5,ACCPTOTH,R ACCEPT OTHERS EVEN WHEN THEY DO THINGS WRONG
5,EVDWELL,"IN LIFE, R HAS EVER BEEN PREVENTED FROM MOVING BC LANDLORD BELIEVED R WAS GAY/L"
5,HELPJOB,HELPED SOMEBODY TO FIND A JOB PAST 12 MONTHS
5,OLD2,AGE OF 2ND PERSON
5,SEX,3SEX OF PERSON NUMBER 3
5,OTHER,3PERSON #3 IS OTHER TYPE OF ACQUAINTANCE
5,KD2RELIG,RELIGION OF R'S CHILD 2
5,SEX,HARR EXPERIENCED SEXUAL HARASSMENT
5,SOLARREV,SCI KNOWLEDGE: HOW LONG THE EARTH GOES AROUND THE SUN
5,TIREDHM1,HOW OFTEN TOO TIRED TO DO HOUSEWORK
5,SPSEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN SPOCC10 BASED ON ACS 2010
5,OTHLANG,1WHAT OTHER LANGUAGES DOES R SPEAK
5,ELDCOST,WHO SHOULD PAY FOR HELP FOR ELDERLY
5,OLD10,AGE OF 1OTH PERSON
5,AGE,2AGE OF PERSON #2
5,EDUC,2EDUCATION LEVEL OF PERSON #2
5,INDTAG,INDUS10 CODING TAG
5,FAIR,PEOPLE FAIR OR TRY TO TAKE ADVANTAGE
5,EVLOSEJB,"IN LIFE, R HAS EVER BEEN DENIED A JOB OR FIRED BC EMPLOYERS BELIEVED R WAS GAY/LE"
5,RACDIF3,DIFFERENCES DUE TO LACK OF EDUCATION
5,RACE,3RACE OF PERSON NUMBER 3
5,JOBHOUR,SHORT WORKING HOURS
5,SATJOB,JOB OR HOUSEWORK
5,COLHOMO,ALLOW HOMOSEXUAL TO TEACH
5,SPSEI10,INCPERCENTAGE OF $45K+ EARNERS IN SPOCC10 BASED ON ACS 2010
5,WHOELSE2,PRESENCE OF OTHERS: OLDER CHILDREN
5,WHERE1,4WHERE IS 14TH PERSON (VISITOR) STAYING?
5,YEAR,SJOBTIME AT CURRENT JOB
5,ZODIAC,RESPONDENTS ASTROLOGICAL SIGN
5,PARTYID,3PARTY ID OF PERSON #3
5,FECHLD,MOTHER WORKING DOESN'T HURT CHILDREN
5,REGION,REGION OF INTERVIEW
5,TRUST,YCAN PEOPLE BE TRUSTED-VERSION Y
5,BORN,HOMEWHAT KIND OF HOUSE RS FAMILY LIVED AT BIRTH
5,MASEI10,EDUCPERCENTAGE OF SOME COLLEGE EDUC IN MAOCC10 BASED ON ACS 2010
5,INTYRS,YEARS OF SERVICE AS AN INTERVIEWER AT NORC
5,RELHH1,3RELATIONSHIP OF PERSON 13 TO HEAD OF HOUSEHOLD
5,SEI10,EDUCPERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
5,INTENVIR,INTERESTED IN ENVIRONMENTAL ISSUES
5,FAIR,HSPSHISPANICS COMMITTED TO FAIR AND EQUAL TREATMENT
5,RACE,THASPOINTS ASSIGNED TO ASIAN AMERICAN
5,WHERE8,WHERE IS 8TH PERSON STAYING?
5,OTHLANG,CAN R SPEAK LANGUAGE OTHER THAN ENGLISH/SPANISH
5,HAPPY7,HOW HAPPY R IS
5,BIBLE,FEELINGS ABOUT THE BIBLE
5,WORDG,WORD G
5,EXPTEXT,WHY IS IT BETTER TO TEST DRUG THIS WAY
5,MAR14,MARITAL STATUS OF 14TH PERSON (VISITOR)
5,WTSS,NRWEIGHT VARIABLE
5,POLHITOK,EVER APPROVE OF POLICE STRIKING CITIZEN
5,PILLOK,YBIRTH CONTROL TO TEENAGERS 14-16 (FORM 2)
5,RELSP1,RELATIONSHIP OF PERSON 1 TO SPOUSE OF HOUSEHOL
5,HIVTEST2,WHERE DID YOU HAVE YOUR LAST HIV TEST
5,HRS1,NUMBER OF HOURS WORKED LAST WEEK
5,WKSUB,SDOES SUPERVISOR HAVE SUPERVISOR
5,JOBSEC,OKTHE JOB SECURITY IS GOOD
5,VISSCI,HOW OFTEN R VISITED SCIENCE MUSEUM
5,NATENVIY,THE ENVIRONMENT -- VERSION Y
5,WORDH,WORD H
5,SPEFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE SPOUSE ATTENDED
5,ABPOOR,WWRONG FOR WOMAN TO GET ABORTION IF LOW INCOME?
5,PARTYID,2PARTY ID OF PERSON #2
5,LOCALNUM,NUMBER OF EMPLOYEES: RS WORK SITE
5,RELATE1,RELATIONSHIP OF 1ST PERSON TO HOUSEHOLD HEAD
5,RELIG,KIDRELIGION R WAS RAISED IN
5,ELECTRON,SCI KNOWLEDGE: ELECTRONS ARE SMALLER THAN ATOMS
5,NATRACE,IMPROVING THE CONDITIONS OF BLACKS
5,HISPANIC,HISPANIC SPECIFIED
5,SEI10,R'S SOCIOECONOMIC INDEX (2010)
5,FUND16,HOW FUNDAMENTALIST WAS R AT AGE 16
5,REG16,"REGION OF RESIDENCE, AGE 16"
5,AWAY3,IS 3RD PERSON STAYING SOMEWHERE ELSE NOW?
5,MAWRKGRW,MOTHERS EMPLOYMENT WHEN R WAS 16
5,RELHH9,RELATIONSHIP OF PERSON 9 TO HEAD OF HOUSEHOLD
5,AGE,RELEXAGE OF R AT RELIGIOUS EXPERIENCE
5,INTAGE,AGE OF INTERVIEWER
5,FEFAM,"BETTER FOR MAN TO WORK, WOMAN TEND HOME"
5,POLEFF11,DON'T HAVE ANY SAY ABOUT WHAT THE GOVERNMENT DOES       
5,MARHOMO,HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY
5,KIDSSOL,RS KIDS LIVING STANDARD COMPARED TO R
5,OTHERSEX,R HAD SEX WITH SOME OTHER LAST YEAR
5,LAUNDRY1,WHO IN HOUSEHOLD DOES LAUNDRY
5,GOD,OCLAST WEEK WENT TO SEE A DOCTOR? 
5,SPANSELF,"IF THIS INTERVIEW HAD ONLY BEEN AVAILABLE IN ENGLISH, WOULD YOU–"
5,DENOM,SCHDENOMINATION OF SCHOOL CHILDREN ATTENDED
5,SUICIDE2,SUICIDE IF BANKRUPT
5,IF08WHO,WHO YOU WOULD HAVE VOTED FOR
5,FAIR,HWRKDIVISION OF WORK UNFAIR TO YOU OR SPOUSE         
5,KIDJOY,KIDS ARE LIFE'S GREATEST JOY
5,CONARMY,YMILITARY -- VERSION Z
5,LIBHOMO,ALLOW HOMOSEXUALS BOOK IN LIBRARY
5,ENGREL,ENGINEERS NOT RELIGIOUS
5,GIVHMLSS,R HAS GIVEN FOOD OR MONEY TO A HOMELESS PERSON
5,AWAY1,2IS 12TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
5,INCOME06,TOTAL FAMILY INCOME
5,MAR3,MARITAL STATUS OF 3RD PERSON
5,ENGDGR,ENGINEERING WORK DANGEROUS
5,WORKWHTS,HARD WORKING - LAZY
5,MARWHT,R FAVOR CLOSE RELATIVE MARRYING WHITE PERSON
5,PRES08,VOTE OBAMA OR MCCAIN
5,NATARMS,ZSTRENGTHENING NATIONAL DEFENSE -- VER Z
5,NATEDUC,IMPROVING NATIONS EDUCATION SYSTEM
5,SEX,"SEX18SINCE AGE 18, HAVE YOUR SEX PARTNERS BEEN–"
5,MAR1,1MARITAL STATUS OF 11TH PERSON (VISITOR)
5,SEI10,INCPERCENTAGE OF $45K+ EARNERS IN OCC10 BASED ON ACS 2010
5,FORMWT,WEIGHT DEAL WITH EXPERIMENTAL RANDOMIZATION
5,RELSP1,4RELATIONSHIP OF PERSON 14 TO SPOUSE OF HOUSEHO
5,NATMASS,MASS TRANSPORTATION
5,PORNLAW,FEELINGS ABOUT PORNOGRAPHY LAWS
5,NATROAD,HIGHWAYS AND BRIDGES
5,INTLWHTS,UNINTELLIGENT -INTELLIGENT
5,SPREL,SPOUSES RELIGIOUS PREFERENCE
5,RELATE4,RELATIONSHIP OF 4TH PERSON TO HOUSEHOLD HEAD
5,RELIG,SPR'S SPOUSE'S RELIGION
5,RELITEN,STRENGTH OF AFFILIATION
5,MASEI10INC,PERCENTAGE OF $45K+ EARNERS IN MAOCC10 BASED ON ACS 2010
5,SPFALOOK,HOURS SPOUSE SPENDS LOOKING AFTER FAMILY MEMBERS
5,VPSU,VARIANCE PRIMARY SAMPLING UNIT
5,FEELEVEL,AMOUNT OF FEES PAID
5,RELATE7,RELATIONSHIP OF 7TH PERSON TO HOUSEHOLD HEAD
5,OLD5,AGE OF 5TH PERSON
5,VISZOO,HOW OFTEN R VISITED ZOO  LAST YEAR
5,FAMBUDGT,HOW COUPLES MONITOR BUDGET
5,GOD,SELLSRELIGIOUS IMAGE TO SELL PRODUCTS 
5,SEX,"FREQ2NUMBER OF TIMES, SEX LAST MONTH"
5,PARELIG,WHAT WAS FATHERS RELIGIOUS PREFERENCE
5,RESPNUM,NUMBER IN FAMILY OF R
5,FAMDIF16,REASON NOT LIVING WITH PARENTS
5,JOBLOSE,IS R LIKELY TO LOSE JOB
5,COLSCINM,NUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN
5,COLMSLM,ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN TEACHING IN COLLEGE
5,NATDRUG,ZREDUCING DRUG ADDICTION -- VERSION Z
5,HOMOSEX,1IS HOMOSEXUAL SEX WRONG?
5,SCIENTWK,SCIENTISTS ONLY INTERESTED IN WORK
5,KIDSUFFR,PRESCHOOLER WILL SUFFER IF MOM WORKS
5,POPULAR,TO BE WELL LIKED OR POPULAR
5,SCIENTDA,HAPPY IF DAUGHTER SCIENTIST
5,HEALTH,12R USE WEB FOR HEALTH INFORMATION IN PAST 12 MON
5,INTEDUC,INTERESTED IN LOCAL SCHOOL ISSUES
5,SCINEWS2,MAGAZINE PRINTED OR ONLINE
5,USCITZN,IS R US CITIZEN
5,GOD,RIGHTGOD'S LAWS SHOULD DECIDE RIGHT AND WRONG
5,HEALTH,1RS HEALTH IN GENERAL
5,MAINDTAG,MAIND10 CODING TAG
5,RELHH10,RELATIONSHIP OF PERSON 10 TO HEAD OF HOUSEHOLD
5,SEXFREQ,FREQUENCY OF SEX DURING LAST YEAR
5,PRESTG10,5PLUSRS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
5,OCCINDV,R'S OCC/IND VERBATIM RETRIEVED
5,AGE,RBORNAGE OF R AT BORN-AGAIN EXPERIENCE
5,ECONSCI,HOW SCIENTIFIC: ECONOMICS
5,OBEY,SYOBEYS PARENTS WELL-VERSION Y
5,CONEDUC,CONFIDENCE IN EDUCATION
5,LIBMIL,ALLOW MILITARISTS BOOK IN LIBRARY
5,GENDER12,GENDER OF 12TH PERSON (VISITOR)
5,PAWRKSLF,FATHER SELF-EMP. OR WORKED FOR SOMEBODY
5,RELIG,INFUS WOULD BE BETTER IF LESS RELIGIOUS      
5,SEX,UNIONSEX OF R'S SPOUSE/CIVIL UNION PARTNER/DOMESTIC PARTNER
5,OBEY,TCHIMPORTANT TO OBEY CHURCH TEACHINGS
5,RELATE9,RELATIONSHIP OF 9TH PERSON TO HOUSEHOLD HEAD
5,NUMMEN,NUMBER OF MALE SEX PARTNERS SINCE 18
5,NATFAREY,ASSISTANCE TO THE POOR -- VERSION Y
5,RELITEN,ASTRENGTH OF AFFILIATION
5,RELSP1,2RELATIONSHIP OF PERSON 12 TO SPOUSE OF HOUSEHO
5,AGE,DPARSHOULD AGED LIVE WITH THEIR CHILDRENAGEDCHLDSHOULD GROWN CHILDREN LIVE WITH PARENTSWEEKSWRKWEEKS R. WORKED LAST YEAR
5,JOBMEANS,WORK IMPORTANT AND FEEL ACCOMPLISHMENT
5,RELSP2,RELATIONSHIP OF PERSON 2 TO SPOUSE OF HOUSEHOL
5,GOD,RS CONFIDENCE IN THE EXISTENCE OF GOD
5,HAPMAR,HAPPINESS OF MARRIAGE
5,SPREL16,RELIGION IN WHICH SPOUSE RAISED
5,SUICIDE3,SUICIDE IF DISHONORED FAMILY
5,BETRLANG,WHICH LANGUAGE R SPEAKS MORE FLUENT
5,DIVLAW,DIVORCE LAWS
5,ADULTS,HOUSEHOLD MEMBERS 18 YRS AND OLDER
5,WKSUBS,1DOES SUPERVISOR HAVE SUPERVISOR
5,CONARMY,CONFIDENCE IN MILITARY
5,LIEDCWKR,LIED TO AT WORK
5,FAMWKLST,WORST WAY TO ORG FAMILY WORK LIFE WITH UNDER SCHOOL AGE CHILD
5,MASEI10,R'S MOTHER'S SOCIOECONOMIC INDEX (2010)
5,POLATTAK,CITIZEN ATTACKING POLICEMAN WITH FISTS
5,OLD3,AGE OF 3RD PERSON
5,RELHHD2,RELATION OF 2ND PERSON TO HOUSEHOLD HEAD
5,AWAY1,4IS 14TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
5,SPKMIL,ALLOW MILITARIST TO SPEAK
5,AGE,5AGE OF PERSON #5
5,FORM,LTRNDID IT INCLUDE FORMAL TRAINING COURSE         
5,OCCTAG,OCC10 CODING TAG
5,HAPPY,GENERAL HAPPINESS
5,OTHER,2PERSON #2 IS OTHER TYPE OF ACQUAINTANCE
5,RELIG,INTRELIGIOUS PEOPLE ARE OFTEN TOO INTOLERANT     
5,FINALTER,CHANGE IN FINANCIAL SITUATION
5,OLD13,AGE OF 13TH PERSON (VISITOR)
5,SOCOMMUN,SPEND EVENING WITH NEIGHBOR
5,PASEI10,R'S FATHER'S SOCIOECONOMIC INDEX (2010)
5,WKSUB,DOES R OR SPOUSE HAVE SUPERVISOR
5,SPANKING,FAVOR SPANKING TO DISCIPLINE CHILD
5,PAPRES10,FATHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
5,DISCAFF,YCHANCE BLACKS PROMOTED AHEAD OF WHITES
5,CARESIK1,WHO IN HOUSEHOLD CARES FOR SICK IN FAMILY
5,AGE,"CMEUSIF BORN OUTSIDE USA, WHAT AGE WERE YOU WHEN YOU PERMANENTLY MOVED TO USA"
5,SPOCCSTATUS,SPOCC10 CODING STATUS
5,HSMATH,THE HIGHEST LEVEL OF MATH R COMPLETED IN HIGH SCHOOL
5,SPPRES10,SPOUSE OCCUPATIONAL PRESTIGE SCORE (2010)
5,EVWORK,EVER WORK AS LONG AS ONE YEAR
5,CMPRGMNG,HOW SCIENTIFIC IS COMPUTER PROGRAMMING
5,EHARASWK,HARASSED ELECTRONICALLY AT WORK
5,KD2JWOTH,R'S CHILD 2 CONSIDERED JEWISH
5,INCOME,77TOTAL FAMILY INCOME
5,SCIFROM,YWHERE GET SCIENCE AND TECHNOLOGY INFO
5,MAR1,0MARITAL STATUS OF 10TH PERSON
5,BIGBANG,SCI KNOWLEDGE: THE UNIVERSE BEGAN WITH A HUGE EXPLOSION
5,WHERE12,WHERE IS 12TH PERSON (VISITOR) STAYING?
5,MAR8,MARITAL STATUS OF 8TH PERSON
5,FINRELA,OPINION OF FAMILY INCOME
5,LETDIE1,YALLOW INCURABLE PATIENTS TO DIE (FORM 2)
5,WHOELSE3,PRESENCE OF OTHERS: SPOUSE PARTNER
5,PAOCCSTATUS,PAOCC10 CODING STATUS
5,WLTHWHTS,RICH - POOR
5,EDUC,HIGHEST YEAR OF SCHOOL COMPLETED
5,PARTYID,POLITICAL PARTY AFFILIATION
5,WHOELSE4,PRESENCE OF OTHERS: OTHER RELATIVES
5,MAR1,3MARITAL STATUS OF 13TH PERSON (VISITOR)
5,EDUC,OPEQUAL OPPORTUNITY TO OBTAIN EDUCATION?
5,EVOLVED,SCI KNOWLEDGE: HUMAN BEINGS DEVELOPED FROM ANIMALS
5,SAMPCODE,SAMPLING ERROR CODE
5,PAIDLV,DVMOTHER OR FATHER PAID LEAVE
5,RELHH11,RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
5,WWWHR,WWW HOURS PER WEEK
5,WWWHR,WHOURS PER WEEK USING WORK COMPUTER WWW
5,INCOME,TOTAL FAMILY INCOME
5,ETH1,1ST MENTIONED COUNTRY OF ORIGIN                     
5,SPSEI10,EDUCPERCENTAGE OF SOME COLLEGE EDUC IN SPOCC10 BASED ON ACS 2010
5,SPDEG,SPOUSES HIGHEST DEGREE
5,TRUST,PEOTHERE ARE ONLY A FEW PPL R CAN TRUST COMPLETELY
5,TOLDWORK,HOW MANY OF R'S COWORKERS KNOW R IS GAY/LES/BI
5,NATFARE,WELFARE
5,AWAY1,IS 1ST PERSON STAYING SOMEWHERE ELSE NOW?
5,ETH2,2ND MENTIONED COUNTRY OF ORIGIN                     
5,DIVORCE,5DIVORCED IN LAST 5 YRS
5,NATENRGY,DEVELOPING ALTERNATIVE ENERGY SOURCES
5,SEXSEX5,SEX OF SEX PARTNERS LAST FIVE YEARS
5,PAINDTAG,PAIND10 CODING TAG
5,BALLOT,BALLOT USED FOR INTERVIEW
5,HELPSICK,SHOULD GOVT HELP PAY FOR MEDICAL CARE?
5,LIVEWHTS,R FAVORS LIVING IN HALF WHITE NEIGHBORHOOD
5,PARTNRS5,HOW MANY SEX PARTNERS R HAD IN LAST 5 YEARS
5,RELATE1,2RELATION OF 12TH PERSON (VISITOR) TO HEAD
5,TAX,BYLAWDO AUTHORITIES TAX LEGALLY
5,VISART,HOW OFTEN R VISITED ART MUSEUM LAST YEAR
5,FAIR,5PEOPLE FAIR OR NOT
5,RELHH1,4RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
5,NATHEAL,YHEALTH -- VERSION Y
5,PAOCCTAG,PAOCC10 CODING TAG
5,MAWORK14,DID MOM WORK BEFORE R WAS 14 YRS OLD
5,DISCAFF,WHITES HURT BY AFF. ACTION
5,SPKCOM,ALLOW COMMUNIST TO SPEAK
5,SCIENTR,ESCIENTISTS NOT RELIGIOUS
5,PARTFULL,WAS R'S WORK PART-TIME OR FULL-TIME?
5,RINCOM06,RESPONDENTS INCOME
5,ATTEND,PAFREQ OF R'S DAD'S RELIG SVC ATTENDANCE
5,COMPREND,RS UNDERSTANDING OF QUESTIONS
5,PAIDLVDV,MOTHER OR FATHER PAID LEAVE
5,FAMILY16,LIVING WITH PARENTS WHEN 16 YRS OLD
5,RELATE2,RELATIONSHIP OF 2ND PERSON TO HOUSEHOLD HEAD
5,ASTROSCI,ASTROLOGY IS SCIENTIFIC
5,UNION,SBDSTRONG TRADE UNIONS ARE BAD FOR US ECONOMY
5,RELIG,IDR'S RELIGIOUS IDENTITY                         
5,WRKBABY,SHLD WOMAN WITH PRESCHOOLER WORK?
5,HSPHYS,R EVER TOOK A HIGH SCHOOL PHYSICS COURSE
5,SPIND10,SPOUSES INDUSTRY CODE (NAICS 2007)
5,FAIR,BLKSBLACKS COMMITTED TO FAIR AND EQUAL TREATMENT OF
5,NATMASS,ZIMPROVING MASS TRANSIT -- VERSION Z
5,NATPARK,PARKS AND RECREATION
5,RHHWORK,HOW MANY HOURS A WEEK DOES R SPEND ON HH WORK
5,CONMEDIC,CONFIDENCE IN MEDICINE
5,LAWENFRC,HOW SCIENTIFIC IS LAW ENFORCEMENT
5,HELPAWAY,R LOOKED AFTER PLANT OR PET OF OTHERS WHILE AWAY
5,SUICIDE4,SUICIDE IF TIRED OF LIVING
5,TVHOURS,HOURS PER DAY WATCHING TV
5,ABPOOR,LOW INCOME--CANT AFFORD MORE CHILDREN
5,CONBUS,CONFIDENCE IN MAJOR COMPANIES
5,SHOUT,PPL AT WORK SHOUT AT R IN HOSTILE MANNER
5,BOSSEMPS,QUALITY OF MGMNT-EMPLOYEE RELS: RS FIRM
5,SPREL,16RELIGION IN WHICH SPOUSE RAISED
5,TRUST,CAN PEOPLE BE TRUSTED 2006 WORDING
5,RICHWORK,"IF RICH, CONTINUE OR STOP WORKING"
5,SPHHWORK,HOW MANY HOURS A WEEK DOES SPOUSE ON HH WRK
5,OLD1,3AGE OF 13TH PERSON (VISITOR)
5,LETIN1,NUMBER OF IMMIGRANTS TO AMERICA NOWADAYS SHOULD BE      
5,WHOELSE5,PRESENCE OF OTHERS: OTHER ADULTS
5,HHCLEAN1,WHO DOES HOUSEHOLD CLEANING
5,PARTYID,1PARTY ID OF PERSON #1
5,PUTDOWN,PPL AT WORK TREAT R IN A MANNER PUTTING R DOWN
5,RELHHD1,3RELATION OF 13TH PERSON (VISITOR) TO HEAD
5,RELHHD13,RELATION OF 13TH PERSON (VISITOR) TO HEAD
5,PRAYER,YBIBLE PRAYER IN SCHOOLS-VERSION Y
5,WRKSLF,R SELF-EMP OR WORKS FOR SOMEBODY
5,NATSPAC,ZSPACE EXPLORATION -- VERSION Z
5,PEOPTRBL,ASSISTING PEOPLE IN TROUBLE IS VERY IMPORTANT
5,NATSOC,SOCIAL SECURITY
5,RELIG,CONRELIGIONS BRING MORE CONFLICT   
5,CHLDIDEL,IDEAL NUMBER OF CHILDREN
5,ENGBTR,ENGINEERS WANT TO MAKE LIFE BETTER FOR AVG PERSON
5,RELHH4,RELATIONSHIP OF PERSON 4 TO HEAD OF HOUSEHOLD
5,SEXFREQ,"2NUMBER OF TIMES, SEX LAST MONTH"
5,OLD12,AGE OF 12TH PERSON (VISITOR)
5,PRAY,ERXBIBLE PRAYER IN SCHOOLS -- VERSION Z
5,INTFARM,INTERESTED IN FARM ISSUES
5,RELHH12,RELATIONSHIP OF PERSON 12 TO HEAD OF HOUSEHOLD
5,CRACK30,R LAST USE CRACK COCAINE
5,KIDSOCST,HAVING CHILDREN INCREASES SOCIAL STANDING IN SOCIETY
5,SPSEI10INC,PERCENTAGE OF $45K+ EARNERS IN SPOCC10 BASED ON ACS 2010
5,LETIN1,ANUMBER OF IMMIGRANTS NOWADAYS SHOULD BE
5,POSSLQ,YRELATIONSHIP STATUS AND COHABITATION OR NOT
5,PRAY,ERYBIBLE PRAYER IN SCHOOLS-VERSION Y
5,RELSP7,RELATIONSHIP OF PERSON 7 TO SPOUSE OF HOUSEHOL
5,WTSS,ALLWEIGHT VARIABLE
5,TRUST,INGMOST PEOPLE CAN BE TRUSTED                    
5,FEEUSED,FEE GIVEN TO GET CASE
5,RELHH5,RELATIONSHIP OF PERSON 5 TO HEAD OF HOUSEHOLD
5,REPAIRS1,WHO IN HOUSEHOLD DOES SMALL REPAIRS
5,POLEFF15,MOST PEOPLE BETTER INFORMED ABOUT POLITICS THAN I       
5,SUICIDE1,SUICIDE IF INCURABLE DISEASE
5,EDUC,4EDUCATION LEVEL OF PERSON #4
5,KIDNUM,NUMBER OF CHILDREN AGE 18 AND OLDER
5,NATSPAC,YSPACE EXPLORATION -- VERSION Y
5,GOD,CLOSEHOW CLOSE TO GOD
5,TRUST,CAN PEOPLE BE TRUSTED
5,INCOME,86TOTAL FAMILY INCOME
5,POSTLIFE,BELIEF IN LIFE AFTER DEATH
5,WKSUB,1DOES R OR SPOUSE OR PARTNER HAVE A SUPERVISOR
5,GOD,LVOTHFEEL GODS LOVE FOR ME THROUGH OTHERS
5,MAPRES105PLUS,MOTHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
5,SINGLPAR,SINGLE PARENTS CAN RAISE KIDS AS WELL AS TWO
5,SPBARATE,RATE OF BA DEGREE EARNING IN COLLEGE SPOUSE ATTENDED
5,FIREFTNG,HOW SCIENTIFIC IS FIREFIGHTING
5,CONTV,YTELEVISION -- VERSION Z
5,PRAY,HOW OFTEN DOES R PRAY
5,AWAY11,IS 11TH PERSON (VISITOR) STAYING ELSEWHERE NOW?
5,GENDER1,1GENDER OF 11TH PERSON (VISITOR)
5,RELHH1,0RELATIONSHIP OF PERSON 10 TO HEAD OF HOUSEHOLD
5,HAPPY,7HOW HAPPY R IS
5,TEENSEX,1MORALITY OF TEENS HAVING SEX
5,WWWHR,OHOURS PER WEEK USING OTHER COMPUTER WWW
5,MAPRES10,5PLUSMOTHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
5,SPINDTAG,SPIND10 CODING TAG
5,PAIDLV1,MONTHS OF LEAVE THAT SHOULD BE AVAILABLE
5,RACE,SELFR'S OWN RACIAL ID
5,INTRACE1,INTERVIEWER S RACE1
5,COOKING1,WHO IN HOUSEHOLD PREPARES THE MEALS
5,OLD1,AGE OF 1ST PERSON
5,COLSCI,R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE 
5,ENGSON,HAPPY IF SON ENGINEER
5,OTHER,5PERSON #5 IS OTHER TYPE OF ACQUAINTANCE
5,MAR1,MARITAL STATUS OF 1ST PERSON
5,FORM,LFINHAVE YOU FINISHED ALL THE COURSES              
5,PILLOK,BIRTH CONTROL TO TEENAGERS 14-16
5,RIFLE,RIFLE IN HOME
5,SCITEXT,WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
5,EARNRS,HOW MANY IN FAMILY EARNED MONEY
